ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
440400589,Doctor Dolittle's Circus,Hugh Lofting,1988,Yearling Books
440475821,Ralph S. Mouse,Beverly Cleary,1983,Yearling Books
440484618,Something Queer at the Haunted School (Yearling Book),Elizabeth Levy,1983,Yearling Books
044048605X,Tennis Shoes,Noel Streatfeild,1984,Yearling Books
440503124,The Bob Book: A Celebration of the Ultimate Okay Guy,David Rensin,1991,Dell Publishing Company
440507421,The Book of Phoebe,Mary-Ann T. Smith,1986,Dell Publishing Company
440845335,Jungles &amp; rain forests (Explorer books),Julia L Andrews,1991,Trumpet Club
440910560,Shadowmaker,Joan Lowery Nixon,1995,Bantam Doubleday Dell Publishing Group
440975700,Running Loose,Chris Crutcher,1986,Laure Leaf
441002633,Dragon Rescue,Don Callander,1995,Ace Books
441002897,Tek Power,William Shatner,1995,Ace Books
441008739,Lady Crymsyn (The Vampire Files),P. N. Elrod,2001,Ace Books
441011462,Angelica: A Novel of Samaria,Sharon Shinn,2004,Ace Books
441141684,Death by Dreaming,Jon Manchip White,1982,Ace Books
441693237,Quantum Leap: Too Close for Comfort (Quantum Leap),Ashley McConnell,1993,Ace Books
441780539,Starfarers,Vonda N. McIntyre,1989,Ace Books
441832849,Groa's Other Eye (Twilight of the Gods Book II),Dennis Schmidt,1986,Ace Books
445408642,Curses!,Aaron Elkins,1994,Warner Books (Mm)
446527556,What Clients Love: A Field Guide to Growing Your Business,Harry Beckwith,2003,Warner Books
446527769,Behind the Smile: My Journey Out of Postpartum Depression,Marie Osmond,2001,Warner Books
446528072,"The Battle of Evernight (The Bitterbynde, Book 3)",Cecilia Dart-Thornton,2003,Aspect
446532177,Regrets Only,Nancy Geary,2004,Warner Books
446601993,Silent Son,Gallatin Warfield,1995,Warner Books
446670588,Official Slacker Handbook,Sarah Dunn,1994,Warner Books
446679712,How to Calm Down: Three Deep Breaths to Peace of Mind,Fred L. Miller,2003,Warner Books
446907901,The Keepsake,Paul Huson,1981,Warner Books
044690919X,Le Gette's Calorie Encyclopedia,Bernard Le Gette,1983,Warner Books
448401010,The Little Engine That Could (Board Book),Watty Piper,1991,Platt &amp; Munk
448401231,Who Says Quack? (Pudgy Board Book),Jerry Smith,1991,Grosset &amp; Dunlap
449138364,Crossfire Trail,Louis L'Amour,1978,Ballantine Books (Mm)
449138488,"Nice to See You, Andy Capp!",Reginald Smythe,1981,Ballantine Books
449147878,Texas Wedding,Catherine Creel,1995,Ivy Books
449148769,Caroline's Daughters,Alice Adams,1993,Fawcett Books
449149595,Elected for Death,Valerie Wolzien,1996,Fawcett Books
449205800,Minerva,Marion Chesney,1984,Fawcett Books
449210650,Assignment in Brittany,Helen MacInnes,1986,Fawcett Books
449212122,The Road Unseen,Peter Jenkins,1987,Fawcett Books
449228754,Circus,Alistair Maclean,1981,Ballantine Books
449244709,Control Tower,Robert Davis,1981,Fawcett Books
449702383,The Club,Patricia Aks,1988,Fawcett Books
449909018,"Sexual Dreams: Why We Have Them, What They Mean",Gayle Delaney,1994,Fawcett Books
450610039,Dead of Light (New English Library (Hodder and Stoughton).),Chaz Brenchley,1997,Trafalgar Square
451144309,Outrageous Fortune,Meredith Land Machin,1986,New American Library
451148959,Islands in the Sky,Arthur C. Clarke,1987,New Amer Library (Mm)
451154983,Mastering the Tarot,Eden Gray,1988,Signet Book
451156617,Red Snow,Edward Topol,1988,New American Library
451160576,"Coin of the Realm (Destroyer, No 77)",Warren Murphy,1989,New Amer Library (Mm)
451177398,Courting Julia (Signet Regency Romance),Mary Balogh,1993,Signet Book
451180836,A Cat in Fine Style: An Alice Nestleton Mystery (Alice Nestleton Mysteries (Paperback)),Lydia Adamson,1995,Signet Book
451200489,Close Encounters,Sandra Kitt,2000,Signet Book
451204379,Never Kissed Goodnight,Edie Claire,2001,Signet Book
451204891,The Hearing,John Lescroart,2002,Signet Book
045120834X,Murder of a Snake in the Grass (Scumble River Mysteries),Denise Swanson,2003,Signet Book
451208757,Son of Holmes,John Lescroart,2003,New American Library
451402596,The Fire and the Fury,Anita Mills,1991,New Amer Library
451405927,Martians in Maggody: An Arly Hanks Mystery (Arly Hanks Mysteries (Paperback)),Joan Hess,1995,Onyx Books
451408950,The Heart and Soul of Nick Carter: Secrets Only a Mother Knows,Jane Carter,1998,Onyx Books
451519574,Gulliver's Travels,Jonathan Swift,1978,Signet Book
451521080,Silas Marner,George Eliot,1987,Signet Book
451521633,The Comedy of Errors,Harry T. Levin,1986,New Amer Library Classics
451626745,Way of Life,Tzu Lao,1992,Signet Book
451627466,The Decameron,Giovanni Boccaccio,1989,Signet Book
451628438,Collected Stories of Charles W. Chesnutt,Charles W. Chesnutt,1992,Signet Book
451628454,"Other Voices, Other Vistas: Short Stories from Africa, China, India, Japan, and Latin America",Barbara H. Solomon,1996,Signet Book
452266831,The Best of Lord Krishna's Cuisine: Favorite Recipes from the Art of Indian Vegetarian Cooking,Yamuna Devi,1991,Plume Books
452270863,"How to Attract Anyone, Anytime, Anyplace: The Smart Guide to Flirting",Susan Rabin,1993,Plume Books
452276381,The African-American Kitchen: Cooking from Our Heritage,Angela Shelf Medearis,1997,Plume Books
452276608,The Exploding Suns: The Secrets of the Supernovas,Isaac Asimov,1996,Plume Books
460879146,Sense &amp; Sensibility (Everyman's Poetry Series),Jane Austin,1997,Everymans Library
465004180,Are We Alone?: Philosophical Implications of the Discovery of Extraterrestrial Life,P. C. W. Davies,1995,HarperCollins
465050522,"The Real State of the Union: From the Best Minds in America, Bold Solutions to the Problems Politicians Dare Not Address (New America Book)",Ted Halstead,2004,Basic Books
470820578,The 360 Degree Brand in Asia: Creating More Effective Marketing Communications,Mark  Blair,2003,John Wiley &amp; Sons
471116300,"Hook Up, Get Hired!: The Internet Job Search Revolution",Joyce Lain Kennedy,1995,John Wiley &amp; Sons
471240443,Life by the Numbers,Keith  Devlin,1998,Wiley
471253111,Secrets and Lies : Digital Security in a Networked World,Bruce  Schneier,2000,Wiley
486259935,Green Mansions: A Romance of the Tropical Forest (Dover Books on Literature and Drama),W. H. Hudson,1989,Dover Publications
491034156,Every day of the week: An Alan Sillitoe reader,Alan Sillitoe,1987,W.H. Allen
515061328,Meeting with the Past,Caroline Halter,1981,Jove
515063886,Open Wings (Open Wings),Barbara Cartland,1982,Jove Books
515090255,Cross and the Switchblade,David Wilkerson,1986,Jove Books
515120669,A Spirited Seduction (Haunting Hearts),Casey Claybourne,1997,Jove Books
517583569,The Little Grain Cookbook,Patricia Stapley,1991,Random House Inc
521799120,Life on Other Worlds: The 20th Century Extraterrestrial Life Debate,Steven J. Dick,2001,Cambridge University Press
525275452,The Cat Who Wished to Be a Man,Lloyd Alexander,1973,Penguin USA
525323155,The House in Norham Gardens,Penelope Lively,1974,Penguin USA
054006436X,Surrey Street Atlas,George Philip &amp; Son,1996,Survey
552142131,A Dog Called Demolition,Robert Rankin,1996,"Acacia Press, Inc."
553106392,Mica Highways,William Elliott Hazelgrove,1998,Bantam Dell Pub Group
553154230,E Brown/Takes Case/ (Encyclopedia Brown (Paperback)),Donald J. Sobol,1982,Yearling Books
553155881,"Class Trip (Sweet Valley Twins Super Edition, No 1)",Francine Pascal,1988,Sweet Valley
553159585,Wingman,Daniel Pinkwater,1992,Skylark Books
553217488,Mysterious (Loveswept),Fayrene Preston,1986,Bantam Books
553238299,Wheels,Arthur Hailey,1973,Bantam Books
553241907,Flowers for the Judge,Margery Allingham,1984,Bantam
553242318,Preparing for Adolescence,James C. Dobson,1983,Bantam Books
553248731,Evidence of Love,John Bloom,1985,Bantam Books
553248944,Skystalker (Be An Interplanetary Spy No. 12),Len Neufeld,1985,Bantam Books
553254340,Film Scenes for Actors,Joshua Karton,1991,Bantam Books
553274600,"The Sacred Hills (Spanish Bit 72 Saga Book, No 8)",Don Coldsmith,1988,Bantam Books
553275968,"Out of Reach (Sweet Valley High, No 50)",Francine Pascal,1988,Sweet Valley
553284495,The Divided Heart,Susan Bowden,1990,Bantam Books
553289543,"Guinness Book of World Records, 1990-1991",Donald McFarlan,1991,Bantam Books
553297201,"The Party (18 Pine St No, 2)",Walter Dean Myers,1992,Bantam Books
553298798,The Best Treatment,Isadore Rosenfeld,1992,Bantam Books
553404881,Forward the Foundation,Isaac Asimov,1994,Bantam
553561774,A Deadly Promise (A Bantam Starfire Book),Joan Lowery Nixon,1993,Starfire
553581287,Death of a Baritone (Music Lover's Mysteries),Karen Sturges,1999,Bantam Books
553581546,The Phoenix Code,Catherine Asaro,2000,Spectra Books
553801686,Legacy of the Dead: An Inspector Ian Rutledge Mystery (Inspector Ian Rutledge Mysteries (Hardcover)),Charles Todd,2000,Bantam Books
563487771,When Will I Be Famous: Travels Through the Dark Side of Show Business,Martin Kelner,2003,BBC
570060095,The Story of Noah's Ark,Jane Latourette,2000,Concordia Publishing House
571199224,Offseason: A Novel,Naomi Holoch,1997,Farrar Straus &amp; Giroux
575046066,Guards! Guards (A Discworld Novel),Terry Pratchett,1989,Sterling Pub Co Inc
582468949,Penguin Quick Guides: Common Errors in English (Penguin Quick Guides),Paul Hancock,2001,Penguin Longman Publishing
582489202,The Literature of Terror: A History of Gothic Fictions from 1765 to the Present Day,David Punter,1980,Longman Publishing Group
582530083,Animal Farm (Bridge),Naura Hayden,1945,Longman Group United Kingdom
586209816,Black Plume,David Madsen,1991,HarperCollins Publishers
590222333,Quake!,Joe Cottonwood,1996,Scholastic
590307223,Ricky Ricotta's Mighty Robot Vs. the Mutant Mosquitoes from Mercury: The Second Robot Adventure Noel (Ricky Ricotta),Dav Pilkey,2000,Scholastic
590317822,Just Plain Cat,Nancy K Robinson,1981,Scholastic Inc
059032845X,Catch the Ball! (Play-and-Read Book),Eric Carle,1998,Cartwheel Books (Scholastics)
590409786,The Winter of the Owl,June Hanson,1987,Scholastic Paperbacks (Mm)
590416677,Margaret's Moves,Berniece Rabe,1988,Scholastic Paperbacks (Mm)
590418386,Slam Book,Ann M. Martin,1989,Scholastic
590431862,Magic of the Black Mirror,Ruth Chew,1996,Scholastic Paperbacks (Mm)
590434624,The Ghosts of Hungryhouse Lane,Sam McBratney,1990,Scholastic Paperbacks (Mm)
059045479X,Gemma and the Baby Chick,Antonia Barber,1993,Scholastic Paperbacks
590470485,"Karen's Lucky Penny (Baby-Sitters Little Sister, 50)",Ann M. Martin,1994,Scholastic
590477641,Amelia Bedelia,Peggy Parish,1993,Scholastic Inc.
590481126,Witches Don't Do Backflips (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1994,Scholastic
590845721,Tonka Big Book of Trucks,Patricia Relf,1996,Scholastic
059086369X,The Case of the Sea World Adventure (The Adventures of Mary Kate and Ashley),Cathy East Dubowski,1996,Scholastic
590907298,Triplet Trouble and the Pizza Party (Triplet Trouble),Debbie Dadey,1996,Scholastic
060037811X,Country Life Book of the Royal Wedding,Lornie Leete Hodge,0,Hamlyn Publ Group Ltd
609602829,"Pillsbury One-Dish Meals Cookbook: More Than 300 Recipes for Casseroles, Skillet Dishes and Slow-Cooker Meals",The Pillsbury Co.,1999,Clarkson N Potter Publishers
614154898,Darksaber,Kevin J. Anderson,1995,Bantam Books
618127453,Sparks of Genius: The Thirteen Thinking Tools of the World's Most Creative People,Robert S. Root-Bernstein,2001,Mariner Books
618155481,"Braving Home: Dispatches from the Underwater Town, the Lava-Side Inn, and Other Extreme Locales",Jake Halpern,2003,Houghton Mifflin Company
067003200X,Aunt Dimity Takes a Holiday,Nancy Atherton,2003,Viking Books
670033499,Author Author,David Lodge,2004,Viking Books
670808423,Tone Deaf and All Thumbs?: An Invitation to Music-Making for Late Bloomers and Non-Prodigies,Frank R. Wilson,1986,Penguin USA
670823597,The Second World War,John Keegan,1989,Penguin USA
670829617,The Concubine's Children/the Story of a Chinese Family Living on Two Sides of the Globe,Denise Chong,1995,Penguin USA
670847895,The Heather Blazing,Colm Toibin,1993,Penguin USA
067086014X,Songs in Ordinary Time (Oprah's Book Club (Hardcover)),Mary McGarry Morris,1995,Viking Books
670870218,Liberty!: The American Revolution,Thomas Fleming,1997,Viking Books
670882356,When Character Was King: A Story of Ronald Reagan,Peggy Noonan,2001,Viking Books
670882372,House of Steps: Finding the Path Home,Amy Blackmarr,1999,Penguin USA
670896888,Empress of the World,Sara Ryan,2001,Viking Juvenile
671003526,DEADLINE,John Dunning,1997,Pocket
671006894,Tales and Poetry of Edgar Allan Poe,Edgar Allan Poe,1988,"Hungry Minds, Inc"
671016806,BEN THERE DONE THAT SABRINA THE TEENAGE WITCH 6 (Sabrina The Teenage Witch),Joseph Locke,1998,Simon Spotlight Entertainment
067101966X,Sweet Fortune,Jayne Ann Krentz,1998,Pocket
671035746,Hawke's Cove,Susan Wilson,2001,Pocket
671035770,The Good Earth (Contemporary Classics),Pearl S. Buck,1999,Washington Square Press
671041649,The Crimson Spell (Charmed),F. Goldsborough,2000,Simon Spotlight Entertainment
671443356,MURDER COMES 1ST (Mr. &amp; Mrs. North Mystery),Frances Lockridge,1982,Pocket
671450344,HIGHLAND VELVET,Jude Deveraux,1982,Pocket
671452665,Flowers in the Attic,V.C. Andrews,1982,Pocket
671473166,The Official Lawyer's Handbook,D. Robert White,1983,Simon &amp; Schuster
671496557,"ENGLISH ROSE (Tapestry Romance, No. 26)",Kelli M. Gary,1983,Pocket
671525344,The Third Pandemic: A Novel,Pierre Ouellette,1996,Pocket Books
671529536,HOUSE OF WHISPERS FEAR STREET SAGAS 2,R.L. Stine,1996,Simon Pulse
671559974,MASTER SPACE TIME,Rudy Rucker,1985,Baen
671571575,"Game Of Chance (Silhouette Romance, #157)",Donna Vitek,1982,Silhouette Books
671602217,MURDER W MIRRORS,Agatha Christie,1985,Pocket
671628860,NEGOTIATE TO CLOSE : HOW TO MAKE MORE SUCCESSFUL DEALS,Gary Karrass,1987,Fireside
671646982,TROUBLE IN TAHITI: NANCY DREW FILES #31 (The Nancy Drew Files Case 31),Carolyn Keene,1989,Simon Pulse
671658425,Mythic Tarot Workbook,Juliet Sharman-Burke,1988,Fireside
067166218X,POSTCARDS FRM EDGE,Angela Fisher,1988,Pocket
671668595,Mousekin's Thanksgiving,Edna Miller,1988,Simon &amp; Schuster
671693565,ELEGY IN A COUNTRY GRAVEYARD : ELEGY IN A COUNTRY GRAVEYARD,Audrey Peterson,1990,Pocket
671727176,"SECRET OF SIGMA SEVEN (HARDY BOYS 110) : SECRET OF SIGMA SEVEN (Hardy Boys, The)",Franklin W. Dixon,1991,Aladdin
671730525,"CASE OF THE ARTFUL CRIME (NANCY DREW 106) : CASE OF THE ARTFUL CRIME (Nancy Drew Mystery Stories, No 106)",Carolyn Keene,1992,Aladdin
671731807,LEGACY OF THE ROSE : LEGACY OF THE ROSE,Kasey Michaels,1992,Pocket
067173203X,My Sister Is Driving Me Crazy,Mary E. Ryan,1991,Simon &amp; Schuster
671741772,MY TEACHER IS AN ALIEN (RACK SIZE),Bruce Coville,1990,Aladdin
671743260,"SONGS OF THE DOOMED : SONGS OF THE DOOMED (Thompson, Hunter S. Gonzo Papers, V. 3.)",Hunter S. Thompson,1991,Pocket
671745212,The Magic of Believing,Claude M. Bristol,1991,Pocket
671746723,Dirk Gently's Holistic Detective Agency,Douglas Adams,1991,Pocket Books
067178501X,PALMISTRY : HOW TO CHART THE LINES OF YOUR LIFE,Roz Levine,1993,Fireside
671792229,AUTO INSURANCE ALERT!: WHY THE SYSTEM STINKS HOW TO FIX IT WHAT TO DO MEANTIME : Overcoming the Crisis in Manufacturing,Andrew Tobias,1993,Fireside
671817078,HELOISE ARND HSE,Heloise,1977,Pocket
671884174,The Performing Arts Major's College Guide,Carole J. Everett,1994,John Wiley &amp; Sons
671887289,THREE STEPS TO A STRONG FAMILY,Linda &amp; richard Eyre,1994,Simon &amp; Schuster
673525104,Conformity and Conflict: Readings in Cultural Anthropology,James P. Spradley,1996,Addison-Wesley Pub Co
674382269,Haunting of Sylvia Plath (Convergences),Jacqueline Rose,1993,Harvard University Press
674792912,Science in Action: How to Follow Scientists and Engineers Through Society,Bruno Latour,1988,Harvard University Press
679001549,Fodor's 1999 Washington D.C.. (Fodor's Gold Guides),Fodor's,1998,Fodor's Travel Publications
679401350,Damage,Josephine Hart,1991,Random House Inc
679403612,Saint Maybe,Anne Tyler,1991,Random House Inc
679424105,The Factory of Facts,Luc Sante,1998,Random House Inc
679431152,Disclosure,Michael Crichton,1994,Random House Audio Publishing Group
067943979X,The Lost Children of Wilder : The Epic Struggle to Change Foster Care,Nina Bernstein,2001,Pantheon Books
679439838,The Book of Color: A Novel,Julia Blackburn,1995,Random House Inc
679441832,The Magic Mountain,THOMAS MANN,1995,Knopf
679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc
679641041,Blood Meridian : Or the Evening Redness in the West (Modern Library),CORMAC MCCARTHY,2001,Modern Library
679764275,The F Word,Jesse Sheidlower,1995,Random House Reference Publishing
679804099,Breakfast-Time for Thomas (Thomas the Tank Engine Mini-Storybooks),W. Awdry,1990,Random House Children's Books
679867120,Daisy-Head Mayzie,DR SEUSS,1995,Random House Books for Young Readers
679871500,The Squishy Prince (Bump in the Night),Michael Novak,1995,Random House Childrens Books
679890688,"Revolutionary War On Wednesday (Magic Tree House 22, paper)",Mary Pope Osborne,2000,Random House Children's Books
681007982,"I, Vampire",Jean Marie Stine,1995,Longmeadow Press
684192608,Swimming in the Volcano: A Novel,Bob Shacochis,1993,Simon &amp; Schuster
684810395,Pretend You Don't See Her,Mary Higgins Clark,1997,Simon &amp; Schuster
684824663,LETTERS TO A YOUNG VICTIM : Hope and Healing in America's Inner Cities (Free Press Paperbacks),Armstrong Williams,1996,Scribner Paper Fiction
684857960,The Scribner Anthology of Contemporary Short Fiction : Fifty North American American Stories Since 1970,Michael Martone,1999,Touchstone
684867931,Is He Gay? : For Every Woman Who's Met the Ideal Man and is Wondering...Why Hasn't he Tried to Kiss Me?,Ed Baker,2000,Fireside
684868091,Front Row at the White House : My Life and Times,Helen Thomas,2000,Scribner
684870819,Chocolate For A Teens Soul : Lifechanging Stories For Young Women About Growing Wise And Growing Strong,Kay Allenbaugh,2000,Fireside
688013546,The Tao of Symbols,James N. Powell,1982,Quill
688059457,The Puppy Who Wanted a Boy,Jane Thayer,1986,HarperCollins Publishers
688071872,My Friends,Nancy Tafuri,1987,HarperTrophy
068812660X,My Life with the Wave,Catherine Cowan,1997,HarperCollins
688143687,Serpent's Tooth: A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,1997,William Morrow &amp; Company
688166393,Bandits,Elmore Leonard,1999,Perennial
688177883,The Scientist in the Crib : What Early Learning Tells Us About the Mind,Alison Gopnik,2000,Perennial
068971372X,Pig William (Reading Rainbow),Arlene Dubanevich,1990,Simon &amp; Schuster Merchandise &amp;
689803702,Richard Scarry: Camping Out (The Busy World of Richard Scarry),Richard Scarry,1995,Simon Spotlight
689818173,Landry News,Andrew Clements,1999,Simon &amp; Schuster Children's Publishing
689848048,River Boy,Tim Bowler,2002,Simon Pulse
689851928,America : A Patriotic Primer,Lynne Cheney,2002,Simon &amp; Schuster Children's Publishing
691017778,"The Myth of the Eternal Return: Or, Cosmos and History",Mircea Eliade,1971,Princeton University Press
691025487,Politics in Black and White,Raphael J. Sonenshein,1994,Princeton University Press
694015091,So Big! (Playtime Rhyme),Public Domain,2001,HarperFestival
069727862X,Diversity of Life,F. Ross,1996,McGraw Hill College Div
069810806X,Little Angie,Emma Cave,1977,"Coward, McCann &amp; Geoghegan"
702230782,Republic of Women,Merrill Findlay,1999,Intl Specialized Book Service Inc
708832725,"Seeds of Love: Part 1 of \The Shadow of the Elephant\""""",Valerie Georgeson,1992,Time Warner Books UK
711910677,Lou Reed and the Velvet Underground,Diana Clapton,1987,Music Sales Corporation
719553466,Last Post: The End of Empire in the Far East,John Keay,1997,John Murray General Publishing Division
727853953,The Murderers (Badge of Honor Novels (Hardcover)),W. E. B. Griffin,1998,Severn House Publishers
727854119,The Mary Celeste,Brian Freemantle,1999,Severn House Publishers
731800613,So Different,Stirling,1989,Prentice Hall (a Pearson Education company)
073571150X,Building Accessible Websites (With CD-ROM),Joe  Clark,2002,New Riders
739430904,An Honorable Man,Rosemary Rogers,2002,Mira
740700235,Life Messages: Inspiration For The Woman's Spirit,Josephine Carlton,2002,Andrews McMeel Publishing
743206983,The Death of Mr Love,Indra Sinha,2002,Simon &amp; Schuster (Trade Division)
743223314,"More, Now, Again: A Memoir of Addiction",Elizabeth Wurtzel,2002,Touchstone Books
743225228,Tempting Faith DiNapoli : A Novel,Lisa Gabriele,2002,Simon &amp; Schuster
743246918,Silent Night/All Through the Night : Two Christmas Novels,Mary Higgins Clark,2002,Simon &amp; Schuster
743251423,Who Moved My Soap? : The CEO's Guide to Surviving in Prison,Andy Borowitz,2003,Simon &amp; Schuster
743410602,Irresistible (Banning Sisters Trilogy),Karen Robards,2002,Pocket
074341277X,Cameo Lake,Susan Wilson,2002,Pocket
743421914,Look to Windward,Iain M. Banks,2001,Star Trek
743435451,"War of Honor (Honor Harrington Series, Book 10)",David Weber,2002,Baen
743437489,The Case of the Creative Crime,Carolyn Keene,2002,Aladdin
743456831,Gateways #7:  What Lay Beyond (Star Trek),Diane Carey,2002,Star Trek
743470095,Little Earthquakes : A Novel,Jennifer Weiner,2004,Atria
746000693,The Usborne First Book of the Recorder,Phillip Hawthorn,1987,E D C Pub
746029357,101 Things to Do With Your Computer (Usborne Computer Guides),Gillian Doherty,1998,E.D.C. Publishing
747521018,Blind Fury (Ironfist Chinmi - Kung Fu Boy),Takeshi Maekawa,1995,Bloomsbury Publishing Plc
749306734,To the Devil a Daughter,Denis Wheatley,1991,Mandarin
749397942,The Rationalist,Warwick Collins,1994,Minerva
749702729,Pig Tale (Picture Mammoth),Helen Oxenbury,1990,Egmont Childrens Books
749933321,Seaswept,Nora Roberts,2002,Judy Piatkus Publishers Ltd
750914769,Food and Feast in Tudor England,Alison Sim,1998,"Alan Sutton Publishing, Ltd."
753451840,The Kingfisher Book of Toy Stories,Laura Cecil,2000,Kingfisher
075350491X,The People's Lawyer,Philip Ells,2002,Virgin Publishing
759228086,The Silver Sun,Nancy Springer,2002,ereads.com
759652406,Naked Beneath My Clothes: Tales of a Revealing Nature,Rita Rudner,2001,Authorhouse
761120165,Beer-Can Chicken: And 74 Other Offbeat Recipes for the Grill,Steven Raichlen,2002,Workman Publishing
761986286,The McDonaldization of Society,George Ritzer,2000,Pine Forge Press
763603112,Where's Waldo?: In Hollywood (Wheres Waldo),Martin Hanford,1997,Candlewick Press (MA)
764224409,"A New Dawn over Devon (The Secrets of Heathersleigh Hall, 4)",Michael Phillips,2001,Bethany House Publishers
764227238,"The Beloved Land (Song of Acadia, 5)",Janette Oke,2002,Bethany House Publishers
764508938,Windows XP for Dummies,Andy  Rathbone,2001,For Dummies
764515489,Windows XP All-in-One Desk Reference for Dummies,Woody  Leonhard,2001,For Dummies
764555030,Islam for Dummies,Malcolm  Clark,2003,For Dummies
076530046X,Not Really the Prisoner of Zenda: A Guardians of the Flame Novel,Joel Rosenberg,2003,Tor Books
765305992,The Blue Widows,Jon Land,2003,Forge
076790303X,The Science of God: The Convergence of Scientific and Biblical Wisdom,Gerald L. Schroeder,1998,Broadway Books
769604285,Springer,Landoll,2001,Landoll
077105629X,"Murder at Hockey Camp (#4) (Macgregor, Roy, Screech Owls Series.)",ROY MACGREGOR,1997,Screech Owls
771099975,As for Me and My House (New Canadian Library),Sinclair Ross,1995,New Canadian Library
785272267,"Take the Reins: A Father Teaches His Son About Life, Commitment and Spirituality",John L. Moore,1997,Thomas Nelson Inc
785272623,Boys! Shaping Ordinary Boys Into Extraordinary Men,William Beausay,1996,Nelson Books
785313168,Pocahontas Play a Sound,Walt Disney Productions,0,Publications International Ltd
786010584,Border Heat: Pasion En LA Frontera (Encanto (English)),Hebby Roman,2000,Kensington Publishing Corporation
786011920,Rough Trade,Steve Jackson,2001,Pinnacle Books
786712023,Graves Gate: A Novel of Possession,Dennis Burges,2003,Carroll &amp; Graf Publishers
786880880,Gene Roddenberry: The Myth and the Man Behind Star Trek,Joel Engel,1995,Hyperion Books
786915250,Baldur's Gate: A Novelization,Philip Athans,1999,TSR
786918357,Psionics Handbook (Dungeons &amp; Dragons Supplement),Bruce R. Cordell,2001,Wizards of the Coast
789405628,101 Essential Tips: Chicken,Anne Willan,1996,Dorling Kindersley Publishing
792457455,"The Cat Companion: The History, Culture, and Everyday Life of the Cat",Amy Shojai,1992,BDD Promotional Books Company
800707834,"In my father's house: The years before \The Hiding Place\""""",Corrie Ten Boom,1976,F. H. Revell Co
800756630,Graffiti: Devotions for Girls,J. David Schmidt,1998,Revell
800757459,Sometimes I Wake Up Grumpy . . . and Sometimes I Let Him Sleep,Karen Scalf Linamen,2001,Revell
800784812,Have You Felt Like Giving Up?,Wilkerson,1981,Baker Book House
080213338X,TRY,Dennis Cooper,1995,Grove Press
080241513X,"Valkyries: Some Through the Fire (Valkyries, Turning to Christ, a Young Woman Learns the Reali)",Jeri Massi,2003,Moody Publishers
802713319,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,1997,Walker &amp; Company
802731317,Hide the Baron,John Creasey,1985,Walker &amp; Company
802776256,"Mozartiana: Two Centuries of Notes, Quotes, and Anecdotes About Wolfgang Amadeus Mozart",Joseph Solman,2002,Walker &amp; Company
804108838,Searching for Caleb,Anne Tyler,1993,Ivy Books
804114862,The Dead of Jericho (Inspector Morse Mysteries (Paperback)),Colin Dexter,1997,Ivy Books
804115397,Shadow Woman (Jane Whitfield Novel),Thomas Perry,1998,Ivy Books
804209855,"Presbyterians, Their History and Beliefs",Walter Lee Lingle,1978,Westminster John Knox Press
805001166,Night Ferry to Death (An Inspector Henry Tibbett Mystery),Patricia Moyes,1986,Henry Holt &amp; Company
080504146X,Wounds of Passion: A Writing Life,Bell Hooks,1997,Henry Holt &amp; Company
806624442,Finding the Right Words: Offering Care and Comfort When You Don't Know What to Say,Wilfred Bockelman,1990,Augsburg Fortress Publishers
806905980,The Book of Paper Quilling: Techniques &amp; Projects for Paper Filigree,Malinda Johnston,1994,Sterling Pub Co Inc
806922699,Wonderful Wire Works: An Easy Decorative Craft,Mickey Baskett,2000,Sterling Publishing
806931817,Progressive Cross-Stitch: Fast to Fantastic Variations from Single Patterns,Terrece Beesley,1995,Sterling Pub Co Inc
806976810,The Living Pond: Water Gardens with Fish &amp; Other Creatures,Helen Nash,2002,Sterling Publishing
807503193,"The Amusement Park Mystery (Boxcar Children Mysteries, 25)",Gertrude Chandler Warner,1992,Albert Whitman &amp; Company
808520903,"The Two Towers (The Lord of the Rings, Part 2)",J. R. R. Tolkien,1999,Sagebrush Bound
809239140,"Pasta Menus: 52 Easy, Delicious, Complete Meals",Norman Kolpas,1993,McGraw-Hill/Contemporary Books
809239264,Unbelievably Good Deals and Great Adventures That You Absolutely Can't Get Unless You're over 50 (4th Ed),Joan Rattner Heilman,1992,Contemporary Books
809428792,Salads (The Good Cook Series),Time-Life Editors,1980,Time-Life Books
809435144,Landscaping (Home Repair and Improvement),Time-Life Books,1991,Time-Life Books
809448858,The World We Live in (A Child's First Library of Learning),Time-Life Books,1990,Time-Life Books
810956640,Portable Tyrannosaurus Rex,Abrams,2000,Harry N Abrams
811207323,Exile: Book IV of Daily Lives in Nghsi-Altai (His Daily Lives in Nghsi-Altai; Book 4),Robert Nichols,1979,New Directions Publishing Corporation
811720179,Scuba diver's guide to underwater ventures,Judy Gail May,1973,Stackpole Books
811805905,All Smiles,Bruce Velick,1995,Chronicle Books
812018524,Dictionary of Medical Terms for the Nonmedical Person (Barron's Educational),Mikel A. Rothenberg,1994,Barrons Educational Series Inc
